NXST_FLOW reply (xid=0x4):
 cookie=0x240db3d6, duration=63809.381s, table=0, n_packets=0, n_bytes=0, idle_age=63809, priority=180,dl_src=fa:16:3e:6c:3c:b6 actions=conjunction(100,1/2)
 cookie=0x22645a2f, duration=62309.834s, table=0, n_packets=0, n_bytes=0, idle_age=62309, priority=150,in_port=3,dl_vlan=100 actions=strip_vlan,load:0x3->NXM_NX_REG11[],load:0x2->NXM_NX_REG12[],load:0x1->OXM_OF_METADATA[],load:0x1->NXM_NX_REG14[],resubmit(,8)
 cookie=0x0, duration=63809.348s, table=0, n_packets=0, n_bytes=0, idle_age=63809, priority=105,tun_id=0x800000/0x800000,in_port=1 actions=load:0x1->NXM_NX_REG15[15],move:NXM_NX_TUN_ID[12..22]->NXM_NX_REG15[0..10],move:NXM_NX_TUN_ID[0..11]->OXM_OF_METADATA[0..11],resubmit(,38)
 cookie=0x0, duration=63809.348s, table=0, n_packets=0, n_bytes=0, idle_age=63809, priority=100,in_port=1 actions=move:NXM_NX_TUN_ID[12..23]->NXM_NX_REG15[0..11],move:NXM_NX_TUN_ID[0..11]->OXM_OF_METADATA[0..11],resubmit(,38)
 cookie=0x5befc3d8, duration=62309.835s, table=0, n_packets=1046, n_bytes=49175, idle_age=11, priority=100,in_port=2 actions=load:0x1->NXM_NX_REG13[],load:0x3->NXM_NX_REG11[],load:0x2->NXM_NX_REG12[],load:0x1->OXM_OF_METADATA[],load:0x3->NXM_NX_REG14[],resubmit(,8)
 cookie=0x453dce32, duration=62306.520s, table=0, n_packets=47, n_bytes=5396, idle_age=62293, priority=100,in_port=4 actions=load:0x4->NXM_NX_REG13[],load:0x3->NXM_NX_REG11[],load:0x2->NXM_NX_REG12[],load:0x1->OXM_OF_METADATA[],load:0x2->NXM_NX_REG14[],load:0x1->NXM_NX_REG10[10],resubmit(,8)
 cookie=0x4ccb7580, duration=62309.836s, table=8, n_packets=0, n_bytes=0, idle_age=62309, priority=100,metadata=0x1,vlan_tci=0x1000/0x1000 actions=drop
 cookie=0xbc467ac9, duration=62309.835s, table=8, n_packets=0, n_bytes=0, idle_age=62309, priority=100,metadata=0x1,dl_src=01:00:00:00:00:00/01:00:00:00:00:00 actions=drop
 cookie=0x8f00da4, duration=62309.837s, table=8, n_packets=1098, n_bytes=54781, idle_age=11, priority=50,metadata=0x1 actions=load:0->NXM_NX_REG10[12],resubmit(,73),move:NXM_NX_REG10[12]->NXM_NX_XXREG0[111],resubmit(,9)
 cookie=0xe65c9892, duration=62309.835s, table=9, n_packets=12, n_bytes=852, idle_age=62287, priority=50,reg0=0x8000/0x8000,metadata=0x1 actions=drop
 cookie=0x34674e41, duration=62309.836s, table=9, n_packets=1086, n_bytes=53929, idle_age=11, priority=0,metadata=0x1 actions=resubmit(,10)
 cookie=0x25a1f73b, duration=62309.837s, table=10, n_packets=1086, n_bytes=53929, idle_age=11, priority=0,metadata=0x1 actions=resubmit(,11)
 cookie=0x12d426, duration=62309.837s, table=11, n_packets=1086, n_bytes=53929, idle_age=11, priority=0,metadata=0x1 actions=resubmit(,12)
 cookie=0xb2705fe, duration=62309.837s, table=12, n_packets=0, n_bytes=0, idle_age=62309, priority=110,metadata=0x1,dl_dst=3e:0b:f3:45:d5:d7 actions=resubmit(,13)
 cookie=0x1c9b8db8, duration=62309.837s, table=12, n_packets=0, n_bytes=0, idle_age=62309, priority=110,ip,reg14=0x1,metadata=0x1 actions=resubmit(,13)
 cookie=0x1c9b8db8, duration=62309.837s, table=12, n_packets=0, n_bytes=0, idle_age=62309, priority=110,ipv6,reg14=0x1,metadata=0x1 actions=resubmit(,13)
 cookie=0x782a0b71, duration=62309.836s, table=12, n_packets=950, n_bytes=40848, idle_age=11, priority=110,metadata=0x1,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,13)
 cookie=0xe47cffe6, duration=62309.835s, table=12, n_packets=0, n_bytes=0, idle_age=62309, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=135,icmp_code=0 actions=resubmit(,13)
 cookie=0xe47cffe6, duration=62309.835s, table=12, n_packets=0, n_bytes=0, idle_age=62309, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=136,icmp_code=0 actions=resubmit(,13)
 cookie=0xe47cffe6, duration=62309.835s, table=12, n_packets=0, n_bytes=0, idle_age=62309, priority=110,icmp6,metadata=0x1,nw_ttl=255,icmp_type=134,icmp_code=0 actions=resubmit(,13)
